Date,Location,Maize_Yellow,Rice_Local,Rice_Imported,Millet,Sorghum,Maize_White
15/05/2015,Techiman,154.76,116,250,145,150,112.8
15/06/2015,Techiman,160.85,123.75,267.5,144,144,125
15/07/2015,Techiman,161.25,126.25,270,140,140,130
15/10/2015,Techiman,176.38,190,286,145,147.5,113.4
15/11/2015,Techiman,193.2,258,300,150,150,108
15/12/2015,Techiman,189.3,250,300,150,142.5,104
15/01/2016,Techiman,190,245,300,150,140,115
15/02/2016,Techiman,186,228,285,150,148,119
15/03/2016,Techiman,189,235,285,150,150,125
15/04/2016,Techiman,186,225,280,150,150,125
15/05/2016,Techiman,191.25,230,295,154,150,127.25
15/06/2016,Techiman,198.4,230,292.5,192.5,150,127
15/07/2016,Techiman,173.4,230,220,152.4,147.8,116.8
15/08/2016,Techiman,164.3,234,220,142.5,135,90
15/09/2016,Techiman,173,250,242.5,142.5,140,90
15/10/2016,Techiman,168.634,262.5,224,150,146.67,60
15/11/2016,Techiman,180.2,296,212,170,160,63
15/12/2016,Techiman,169.4,225,220,170,160,72
15/01/2017,Techiman,173.17,216.6,240,164.29,160.96,84
15/02/2017,Techiman,170.936,215.25,240,156.79,162.64,80
15/03/2017,Techiman,173.684,215,240,160.77,161.65,91
15/04/2017,Techiman,181.652,213,240,172.07,168.19,115
15/05/2017,Techiman,152.764,105,193,183.28,167.54,115
15/06/2017,Techiman,170.23,210,176,192.16,162.99,110
